Spike Factor,Spike Duration,Iteration,Grad (mean),Exp Avg (mean),Exp Avg Sq (mean),Denom (mean),Norm Grad (mean)
0.0,2,2,7.743084813207955e-05,7.743062645189251e-06,3.4617698110483694e-10,1.614322965173035e-05,0.39297757830856056
0.0,2,3,-0.0001459368666768481,-7.6249302870144765e-06,6.773881597864922e-10,2.3715301446616833e-05,-0.7805511240488975
0.0,2,4,4.970942568856935e-05,-1.8914946894560952e-06,1.0170458746705501e-09,3.07436735416684e-05,-0.04207204636393891
0.0,2,5,8.339030490303888e-05,6.6366852697934015e-06,1.3998836235753487e-09,3.6731104650379574e-05,0.2584397078523535
0.0,2,6,5.4612901108653723e-05,1.1434306853679432e-05,1.6016959210774743e-09,3.964073818652199e-05,0.37814553948173835
0.0,2,7,-1.6920270026372404e-05,8.598849165674244e-06,1.9363428852955387e-09,4.3576597363758595e-05,0.2930020041045166
0.0,2,8,5.885229997608908e-05,1.3624194246715721e-05,2.2909000138300057e-09,4.746577638095224e-05,0.34015170335216915
0.0,2,9,0.00018198641339890948,3.0460416161935096e-05,2.631957489174591e-09,5.095737930729819e-05,0.6853755291677903
0.0,2,10,-0.00012561349285591906,1.4853025260149688e-05,3.0675905288053653e-09,5.5087696859344205e-05,0.32494686478342427
0.0,2,11,4.223097559075725e-05,1.7590820293210445e-05,3.4749781169503404e-09,5.8723913064115526e-05,0.35438356839139756
0.0,2,12,0.00017619424407342463,3.345116267123186e-05,3.9460675724785226e-09,6.255263866135303e-05,0.5887299285899411
0.0,2,13,0.00027960395324923574,5.806644172903224e-05,4.4125583740930906e-09,6.624355327966405e-05,0.9200256898644081
0.0,2,14,3.7986392710506934e-05,5.605843682717971e-05,4.866979320822458e-09,6.946887778373306e-05,0.8212428548178418
0.0,2,15,-4.937639221736285e-05,4.551495392272546e-05,5.147372224939696e-09,7.13907427559661e-05,0.647150773317638
0.0,2,16,7.842944537719649e-05,4.880640306817257e-05,5.4627852017563195e-09,7.350875735059122e-05,0.6606812585449878
0.0,2,17,-5.2555867261913876e-05,3.867017603516392e-05,5.829195447762341e-09,7.596225261260156e-05,0.4899132432014698
0.0,2,18,4.8560464015551815e-05,3.965920483320271e-05,6.2174886366239954e-09,7.848308537122815e-05,0.4965165643164361
0.0,2,19,-4.292913599124253e-05,3.140037075075817e-05,6.627936468122305e-09,8.111726074550455e-05,0.4062523241013387
0.0,2,20,-4.159874947491461e-05,2.41004587281909e-05,6.690645009272669e-09,8.150101044560417e-05,0.3030332557713243
0.0,2,21,-8.731215945543587e-05,1.2959196909828226e-05,7.087155208705042e-09,8.390883188766365e-05,0.16996590396617703
0.0,2,22,6.980038355511252e-05,1.8643315574356646e-05,7.432934660192291e-09,8.591709238762768e-05,0.25525722878530843
0.0,2,23,-0.0003600062097356927,-1.9221636956648278e-05,7.890015217785294e-09,8.856120847350435e-05,-0.2130695454830451
0.0,2,24,-7.108193873611894e-05,-2.4407667134595348e-05,8.230746770841453e-09,9.0494528464347e-05,-0.2398397841362777
0.0,2,25,0.0001320591772400097,-8.760982697134845e-06,8.672341390746512e-09,9.289290205275774e-05,-0.06412458077190925
0.0,2,26,-5.801531717669756e-05,-1.368641614509111e-05,9.02897617782123e-09,9.477123032884278e-05,-0.1348818498706322
0.0,2,27,7.238136326121876e-05,-5.079638204460133e-06,9.316336144634668e-09,9.632301703863253e-05,-0.05502915583400739
0.0,2,28,-3.9490621407309286e-05,-8.520736524745047e-06,9.604804547029158e-09,9.78186519981151e-05,-0.08786527589567558
0.0,2,29,-0.00018850802179415678,-2.651946505168621e-05,9.995400718037307e-09,9.973420235630167e-05,-0.28572924847317027
0.0,2,30,-0.0001948075092346866,-4.334826946998625e-05,1.0321324801274726e-08,0.00010136661564126992,-0.4461070741374565
0.0,2,31,-2.3376058363496817e-05,-4.1351048359337305e-05,1.0596459095516076e-08,0.00010270836858743997,-0.422021658093854
0.0,2,32,0.00010920518568166318,-2.6295424955237267e-05,1.0972193351377717e-08,0.00010456088468622734,-0.27993815485576967
0.0,2,33,0.00013796540748199854,-9.869341711513703e-06,1.1469365387042661e-08,0.00010688110222872534,-0.12152525186527227
0.0,2,34,6.47679952507983e-05,-2.4056080152825052e-06,1.185840758421672e-08,0.00010867434426444815,-0.054153098082021595
0.0,2,35,0.00010537422203282371,8.372374989528114e-06,1.218583138127715e-08,0.0001101688349110693,0.02993131094080448
0.0,2,36,0.00018370594879332122,2.5905732369907426e-05,1.2535151441615147e-08,0.00011174368702812732,0.18921816413406042
0.0,2,37,-0.0001057424015544682,1.2740918977469863e-05,1.2983054551098755e-08,0.00011369460340046043,0.06580892951939876
0.0,2,38,-0.0001252110125889274,-1.0542741791698537e-06,1.3268624733319383e-08,0.00011492320489156905,-0.04832412889827731
0.0,2,39,-1.1327744680487056e-05,-2.081621229301578e-06,1.3564167245474206e-08,0.00011622916649497871,-0.05770075956501902
0.0,2,40,2.4728650926627145e-05,5.994059862912896e-07,1.3925084432979945e-08,0.00011779374520224788,-0.027177700485457368
0.0,2,41,0.00017227282149620494,1.776674753728265e-05,1.4213176725290261e-08,0.00011900622604912574,0.10978942557814128
0.0,2,42,-6.0608670772269604e-05,9.929205706327432e-06,1.4473391334783261e-08,0.00012005983430710689,0.05763100279967448
0.0,2,43,-0.00019324420371230424,-1.0388135235535728e-05,1.4798395084245935e-08,0.00012142395917795929,-0.10772168404570456
0.0,2,44,0.00012415119130407108,3.0657974184249472e-06,1.5225309947274358e-08,0.0001231958057061475,0.014807144844344727
0.0,2,45,-0.00010555779537122324,-7.796561860539873e-06,1.5578453986751245e-08,0.00012462986984772392,-0.07262732311431921
0.0,2,46,-0.00010253653712034665,-1.7270559386520546e-05,1.584730564674258e-08,0.00012568392771686781,-0.14870513648582645
0.0,2,47,-9.265621571096355e-05,-2.4809125018964842e-05,1.6169155847315688e-08,0.00012696755792708191,-0.21545931955354253
0.0,2,48,-6.274281718949382e-05,-2.8602494236017748e-05,1.6422113882994663e-08,0.00012795697868532438,-0.24650645121774523
0.0,2,49,0.0001917816896794561,-6.564075844470356e-06,1.673770726776059e-08,0.0001291821020711754,-0.056901562872469
0.0,5,0,-1.0167685919656543e-10,-1.0167685919656542e-11,3.169233758790279e-22,1.0014733495923457e-08,-0.0010141403321677544
0.0,5,1,-1.0167685919656543e-10,-1.931860324734743e-11,6.335298283821767e-22,1.0020831100027385e-08,-0.0019248077992602872
0.0,5,2,-1.0167685919656543e-10,-2.755442884226923e-11,9.498196744328225e-22,1.002550640499461e-08,-0.002743136599220875
0.0,5,3,-1.0167685919656543e-10,-3.4966671877698847e-11,1.2657932306374177e-21,1.0029444898050085e-08,-0.0034786519970291443
0.0,5,4,-1.0167685919656543e-10,-4.1637690609585494e-11,1.5814508132858082e-21,1.0032912169805183e-08,-0.004139805940637927
0.0,5,5,6.5510860528792e-05,6.551048578957649e-06,5.028913158429156e-10,2.0829306080692787e-05,0.3952867460101255
0.0,5,6,-3.229381021248278e-05,2.666562699813607e-06,8.034200419001079e-10,2.764385835521661e-05,0.27960398445746903
0.0,5,7,-0.00021551618023286554,-1.9151711593454297e-05,1.1847123155449691e-09,3.3668635816506294e-05,-0.46375805564879724
0.0,5,8,-0.00020976925487238882,-3.8213465921347756e-05,1.5734872999286398e-09,3.865532569713643e-05,-0.9264871693122846
0.0,5,9,-2.3525146669999784e-05,-3.6744633996212957e-05,1.901332694328347e-09,4.29757936852293e-05,-0.7487712702662858
0.0,5,10,0.00023352373974022024,-9.717796622569644e-06,2.2012429776203993e-09,4.619608115629646e-05,-0.13059908612889257
0.0,5,11,0.0002494343862077024,1.6197421660457555e-05,2.6946235419912086e-09,5.139654318336131e-05,0.402711833856724
0.0,5,12,0.00013629435102576354,2.8207114596988152e-05,3.1992695580012884e-09,5.581361968723409e-05,0.5605625899750628
0.0,5,13,9.319400109581314e-05,3.470580324687065e-05,3.4391434453213453e-09,5.8000857703473315e-05,0.6168213015655069
0.0,5,14,4.639477600479369e-05,3.587470052266295e-05,3.866372596029939e-09,6.149663025913844e-05,0.5968730440394022
0.0,5,15,-5.410425685494982e-06,3.1746187901847155e-05,4.16293527046202e-09,6.371613625062578e-05,0.5172190804640311
0.0,5,16,0.0001615471587923999,4.472628499090244e-05,4.501371407346341e-09,6.634860280950547e-05,0.736821733830984
